time,minutes,seconds,latitude,longitude,pitch,roll,yaw,accelG,sideG
1881,0,0,,0.00,0.0070.66,75.98,301.35,0.00,0.00
2935,0,0,,0.00,0.0044.06,46.46,296.45,0.00,0.00
3943,0,0,,0.00,0.0043.43,29.00,269.98,0.00,0.00
4960,0,0,,0.00,0.0041.22,17.50,263.96,0.00,0.00
5977,0,0,,0.00,0.0080.05,4.65,261.28,0.00,0.00
6994,0,0,,0.00,0.0079.81,-3.88,263.78,0.00,0.00
8011,0,0,,0.00,0.0078.79,-4.92,264.52,0.00,0.00
9028,0,0,,0.00,0.0078.57,-5.08,264.74,0.00,0.00
10106,0,0,,0.00,0.0078.78,-4.95,267.57,0.00,0.00
11114,0,0,,0.00,0.0078.22,-4.55,267.87,0.00,0.00
12121,0,0,,0.00,0.0078.14,-4.17,266.66,0.00,0.00
13127,0,0,,0.00,0.0078.47,-4.42,266.14,0.00,0.00
14140,0,0,,0.00,0.0078.46,-4.21,266.74,0.00,0.00
15145,0,0,,0.00,0.0078.40,-4.29,266.40,0.00,0.00
16152,0,0,,0.00,0.0078.60,-4.56,265.50,0.00,0.00
16169,0,0,,0.00,0.0078.59,-4.52,265.57,0.00,0.00
16185,0,0,,0.00,0.0078.59,-4.52,265.57,0.00,0.00
16206,0,0,,0.00,0.0078.59,-4.53,265.74,0.00,0.00
16222,0,0,,0.00,0.0078.59,-4.53,265.74,0.00,0.00
16237,0,0,,0.00,0.0078.62,-4.46,265.78,0.00,0.00
16252,0,0,,0.00,0.0078.62,-4.46,265.78,0.00,0.00
16273,0,0,,0.00,0.0078.60,-4.41,265.80,0.00,0.00
16289,0,0,,0.00,0.0078.60,-4.41,265.80,0.00,0.00
16311,0,0,,0.00,0.0078.63,-4.37,265.83,0.00,0.00
16326,0,0,,0.00,0.0078.60,-4.34,265.86,0.00,0.00
16342,0,0,,0.00,0.0078.60,-4.34,265.86,0.00,0.00
16357,0,0,,0.00,0.0078.58,-4.37,265.87,0.00,0.00
16382,0,0,,0.00,0.0078.56,-4.35,265.89,0.00,0.00
16398,0,0,,0.00,0.0078.56,-4.35,265.89,0.00,0.00
16422,0,0,,0.00,0.0078.57,-4.34,265.90,0.00,0.00
16437,0,0,,0.00,0.0078.50,-4.40,265.93,0.00,0.00
16454,0,0,,0.00,0.0078.50,-4.40,265.93,0.00,0.00
16469,0,0,,0.00,0.0078.52,-4.39,265.92,0.00,0.00
16491,0,0,,0.00,0.0078.57,-4.36,265.92,0.00,0.00
16507,0,0,,0.00,0.0078.57,-4.36,265.92,0.00,0.00
16522,0,0,,0.00,0.0078.49,-4.35,265.87,0.00,0.00
16538,0,0,,0.00,0.0078.49,-4.35,265.87,0.00,0.00
